Generation 1

[[6.0,20.0,1.0], 3.746643568644435]
[[6.0,20.0,2.0], 3.710697271546124]
[[6.0,20.0,1.1], 3.743178865309658]
[[6.1,20.0,1.0], 3.743611953226505]
[[5.0,20.0,1.0], 3.743611953226505]
[[6.0,20.1,1.0], 3.7462104807275876]
[[6.0,21.0,1.0], 3.746643568644435]
[[6.0,19.0,1.0], 3.746643568644435]
[[6.0,20.0,0.9], 3.747076656561282]
[[6.0,19.9,1.0], 3.747942832394976]
[[5.9,20.0,1.0], 3.750541359896059]
[[7.0,20.0,1.0], 3.7531398873971415]
[[6.0,20.0,0.0], 4.178432221741013]
Generation 2

[[6.0,20.0,2.0], 3.710697271546124]
[[6.0,19.0,2.0], 3.7098310957124294]
[[5.0,20.0,2.0], 3.7102641836292767]
[[6.0,20.1,2.0], 3.7102641836292767]
[[6.0,21.0,2.0], 3.7102641836292767]
[[6.1,20.0,2.0], 3.710697271546124]
[[6.0,19.9,2.0], 3.710697271546124]
[[7.0,20.0,2.0], 3.7124296232135126]
[[6.0,20.0,2.1], 3.7128627111303594]
[[5.9,20.0,2.0], 3.7132957990472066]
[[6.0,20.0,1.9], 3.7132957990472066]
[[6.0,20.0,3.0], 3.718492854049372]
[[6.0,20.0,1.0], 3.746643568644435]
Generation 3

[[6.0,19.0,2.0], 3.7098310957124294]
[[5.0,19.0,2.0], 3.7093980077955826]
[[6.0,18.0,2.0], 3.7093980077955826]
[[6.0,19.1,2.0], 3.7098310957124294]
[[6.1,19.0,2.0], 3.7102641836292767]
[[6.0,18.9,2.0], 3.710697271546124]
[[6.0,20.0,2.0], 3.710697271546124]
[[7.0,19.0,2.0], 3.711563447379818]
[[6.0,19.0,2.1], 3.7124296232135126]
[[5.9,19.0,2.0], 3.7128627111303594]
[[6.0,19.0,1.9], 3.7132957990472066]
[[6.0,19.0,3.0], 3.7245560848852315]
[[6.0,19.0,1.0], 3.746643568644435]
Generation 4

[[5.0,19.0,2.0], 3.7093980077955826]
[[4.0,19.0,2.0], 3.708531831961888]
[[5.0,19.1,2.0], 3.708531831961888]
[[5.0,18.0,2.0], 3.7089649198787353]
[[5.1,19.0,2.0], 3.7098310957124294]
[[6.0,19.0,2.0], 3.7098310957124294]
[[5.0,18.9,2.0], 3.7102641836292767]
[[5.0,20.0,2.0], 3.7102641836292767]
[[4.9,19.0,2.0], 3.711563447379818]
[[5.0,19.0,2.1], 3.711563447379818]
[[5.0,19.0,1.9], 3.7128627111303594]
[[5.0,19.0,3.0], 3.7245560848852315]
[[5.0,19.0,1.0], 3.743611953226505]
Generation 5

[[4.0,19.0,2.0], 3.708531831961888]
[[3.0,19.0,2.0], 3.7072325682113467]
[[4.0,19.1,2.0], 3.7080987440450413]
[[4.0,18.0,2.0], 3.7080987440450413]
[[4.1,19.0,2.0], 3.7089649198787353]
[[5.0,19.0,2.0], 3.7093980077955826]
[[4.0,18.9,2.0], 3.7093980077955826]
[[4.0,20.0,2.0], 3.7093980077955826]
[[3.9,19.0,2.0], 3.7111303594629708]
[[4.0,19.0,2.1], 3.7111303594629708]
[[4.0,19.0,1.9], 3.7119965352966653]
[[4.0,19.0,3.0], 3.722390645300996]
[[4.0,19.0,1.0], 3.713728886964054]
Generation 6

[[3.0,19.0,2.0], 3.7072325682113467]
[[3.0,18.0,2.0], 3.7063663923776526]
[[3.0,19.1,2.0], 3.7067994802945]
[[3.0,20.0,2.0], 3.707665656128194]
[[3.0,18.9,2.0], 3.7080987440450413]
[[4.0,19.0,2.0], 3.708531831961888]
[[2.9,19.0,2.0], 3.7098310957124294]
[[3.0,19.0,2.1], 3.7098310957124294]
[[3.1,19.0,2.0], 3.710697271546124]
[[3.0,19.0,1.9], 3.713728886964054]
[[2.0,19.0,2.0], 3.7141619748809007]
[[3.0,19.0,3.0], 3.72628843655262]
[[3.0,19.0,1.0], 3.711563447379818]
Generation 7

[[3.0,18.0,2.0], 3.7063663923776526]
[[3.0,18.1,2.0], 3.7055002165439586]
[[2.9,18.0,2.0], 3.7063663923776526]
[[3.0,17.0,2.0], 3.7063663923776526]
[[3.0,19.0,2.0], 3.7072325682113467]
[[4.0,18.0,2.0], 3.7080987440450413]
[[3.1,18.0,2.0], 3.7098310957124294]
[[3.0,18.0,2.1], 3.7102641836292767]
[[3.0,17.9,2.0], 3.710697271546124]
[[2.0,18.0,2.0], 3.7132957990472066]
[[3.0,18.0,1.9], 3.7132957990472066]
[[3.0,18.0,3.0], 3.7336509311390214]
[[3.0,18.0,1.0], 3.711563447379818]
Generation 8

[[3.0,18.1,2.0], 3.7055002165439586]
[[3.0,18.1,2.1], 3.704634040710264]
[[3.0,17.1,2.0], 3.7055002165439586]
[[3.1,18.1,2.0], 3.7059333044608054]
[[3.0,18.2,2.0], 3.7059333044608054]
[[3.0,18.0,2.0], 3.7063663923776526]
[[3.0,19.1,2.0], 3.7067994802945]
