Generation 1

[[1.0,1.0,1.0], 4.047206582936336]
[[1.0,2.0,1.0], 3.8618449545257687]
[[2.0,1.0,1.0], 3.8822000866175834]
[[0.9,1.0,1.0], 4.03897791251624]
[[1.0,1.0,1.1], 4.043741879601559]
[[0.0,1.0,1.0], 4.044608055435253]
[[1.0,1.0,0.9], 4.044608055435253]
[[1.0,1.1,1.0], 4.045474231268948]
[[1.1,1.0,1.0], 4.047639670853183]
[[1.0,0.9,1.0], 4.04807275877003]
[[1.0,1.0,2.0], 4.04807275877003]
[[1.0,0.0,1.0], 4.428323949761801]
[[1.0,1.0,0.0], 4.178432221741013]
Generation 2

[[1.0,2.0,1.0], 3.8618449545257687]
[[1.0,3.0,1.0], 3.841056734517107]
[[1.0,2.0,0.9], 3.8557817236899092]
[[0.9,2.0,1.0], 3.8570809874404506]
[[1.0,2.1,1.0], 3.858380251190992]
[[1.1,2.0,1.0], 3.859246427024686]
[[2.0,2.0,1.0], 3.8596795149415333]
[[1.0,1.9,1.0], 3.862278042442616]
[[1.0,2.0,1.1], 3.862711130359463]
[[0.0,2.0,1.0], 3.8644434820268514]
[[1.0,2.0,2.0], 4.044174967518407]
[[1.0,1.0,1.0], 4.047206582936336]
[[1.0,2.0,0.0], 4.178432221741013]
Generation 3

[[1.0,3.0,1.0], 3.841056734517107]
[[1.0,4.0,1.0], 3.8003464703334777]
[[1.0,3.0,0.9], 3.8168038111736684]
[[1.0,3.1,1.0], 3.823733217843222]
[[2.0,3.0,1.0], 3.83759203118233]
[[0.9,3.0,1.0], 3.838025119099177]
[[1.1,3.0,1.0], 3.8388912949328713]
[[1.0,2.9,1.0], 3.8388912949328713]
[[0.0,3.0,1.0], 3.8427890861844953]
[[1.0,3.0,1.1], 3.8427890861844953]
[[1.0,2.0,1.0], 3.8618449545257687]
[[1.0,3.0,2.0], 4.032481593763534]
[[1.0,3.0,0.0], 4.178432221741013]
Generation 4

[[1.0,4.0,1.0], 3.8003464703334777]
[[1.0,5.0,1.0], 3.760502381983543]
[[1.0,4.0,0.9], 3.7929839757470765]
[[1.0,4.1,1.0], 3.794283239497618]
[[0.9,4.0,1.0], 3.7964486790818537]
[[2.0,4.0,1.0], 3.7990472065829364]
[[1.1,4.0,1.0], 3.7994802944997836]
[[0.0,4.0,1.0], 3.7999133824166305]
[[1.0,3.9,1.0], 3.8020788220008663]
[[1.0,4.0,1.1], 3.805110437418796]
[[1.0,3.0,1.0], 3.841056734517107]
[[1.0,4.0,2.0], 3.859246427024686]
[[1.0,4.0,0.0], 4.178432221741013]
Generation 5

[[1.0,5.0,1.0], 3.760502381983543]
[[1.0,6.0,1.0], 3.737981810307492]
[[1.0,5.0,0.9], 3.739714161974881]
[[1.0,5.1,1.0], 3.750974447812906]
[[2.0,5.0,1.0], 3.753572975313989]
[[1.1,5.0,1.0], 3.7553053269813774]
[[0.9,5.0,1.0], 3.7557384148982242]
[[0.0,5.0,1.0], 3.7609354699003896]
[[1.0,4.9,1.0], 3.7708964919878736]
[[1.0,5.0,1.1], 3.787786920744911]
[[1.0,4.0,1.0], 3.8003464703334777]
[[1.0,5.0,2.0], 3.8458207016024253]
[[1.0,5.0,0.0], 4.178432221741013]
Generation 6

[[1.0,6.0,1.0], 3.737981810307492]
[[1.0,6.0,0.9], 3.714595062797748]
[[1.0,7.0,1.0], 3.7150281507145952]
[[1.0,6.1,1.0], 3.7306193157210914]
[[1.1,6.0,1.0], 3.7336509311390214]
[[2.0,6.0,1.0], 3.734084019055868]
[[0.9,6.0,1.0], 3.7345171069727154]
[[1.0,5.9,1.0], 3.736682546556951]
[[1.0,6.0,1.1], 3.737981810307492]
[[0.0,6.0,1.0], 3.7384148982243395]
[[1.0,5.0,1.0], 3.760502381983543]
[[1.0,6.0,2.0], 3.84365526201819]
[[1.0,6.0,0.0], 4.178432221741013]
Generation 7

[[1.0,6.0,0.9], 3.714595062797748]
[[1.0,6.0,0.8], 3.70073624945864]
[[1.0,7.0,0.9], 3.7111303594629708]
[[1.0,6.1,0.9], 3.711563447379818]
[[1.1,6.0,0.9], 3.713728886964054]
[[0.9,6.0,0.9], 3.715461238631442]
[[0.0,6.0,0.9], 3.7163274144651366]
[[2.0,6.0,0.9], 3.718492854049372]
[[1.0,5.9,0.9], 3.725422260718926]
[[1.0,6.0,1.0], 3.737981810307492]
[[1.0,5.0,0.9], 3.739714161974881]
[[1.0,6.0,1.9], 3.8185361628410566]
[[1.0,6.0,-0.1], 4.455175400606323]
Generation 8

[[1.0,6.0,0.8], 3.70073624945864]
[[1.0,5.9,0.8], 3.7016024252923345]
[[1.1,6.0,0.8], 3.7024686011260286]
[[1.0,6.1,0.8], 3.702901689042876]
[[0.0,6.0,0.8], 3.704634040710264]
[[1.0,6.0,0.7], 3.7055002165439586]
[[1.0,7.0,0.8], 3.7059333044608054]
[[0.9,6.0,0.8], 3.7067994802945]
[[2.0,6.0,0.8], 3.7072325682113467]
[[1.0,6.0,0.9], 3.714595062797748]
[[1.0,5.0,0.8], 3.7241229969683847]
[[1.0,6.0,1.8], 3.815504547423127]
[[1.0,6.0,-0.2], 4.582503248159377]
