Generation 1

[[6.0,20.0,1.0], 4.431806658779787]
[[6.1,20.0,1.0], 4.433158695284773]
[[5.9,20.0,1.0], 4.4314686496535405]
[[7.0,20.0,1.0], 4.433158695284773]
[[5.0,20.0,1.0], 4.428088558391076]
[[6.0,20.1,1.0], 4.435524759168498]
[[6.0,19.9,1.0], 4.433496704411019]
[[6.0,21.0,1.0], 4.426398512759844]
[[6.0,19.0,1.0], 4.4296095994591855]
[[6.0,20.0,1.1], 4.428426567517323]
[[6.0,20.0,0.9], 4.431299645090418]
[[6.0,20.0,2.0], 4.645090417441271]
[[6.0,20.0,0.0], 5.069460875443637]
Generation 2

[[6.0,21.0,1.0], 4.426398512759844]
[[6.1,21.0,1.0], 4.427581544701707]
[[5.9,21.0,1.0], 4.426398512759844]
[[7.0,21.0,1.0], 4.427919553827953]
[[5.0,21.0,1.0], 4.423187426060504]
[[6.0,21.1,1.0], 4.430285617711678]
[[6.0,20.9,1.0], 4.430285617711678]
[[6.0,22.0,1.0], 4.427412540138584]
[[6.0,20.0,1.0], 4.431806658779787]
[[6.0,21.0,1.1], 4.428595572080446]
[[6.0,21.0,0.9], 4.432651681595403]
[[6.0,21.0,2.0], 4.642724353557546]
[[6.0,21.0,0.0], 5.069460875443637]
Generation 3

[[5.0,21.0,1.0], 4.423187426060504]
[[4.0,21.0,1.0], 4.414399188778097]
[[5.0,21.0,1.1], 4.416089234409329]
[[5.1,21.0,1.0], 4.423694439749873]
[[5.0,22.0,1.0], 4.424201453439243]
[[4.9,21.0,1.0], 4.424370458002366]
[[6.0,21.0,1.0], 4.426398512759844]
[[5.0,21.1,1.0], 4.427074531012337]
[[5.0,20.9,1.0], 4.427074531012337]
[[5.0,20.0,1.0], 4.428088558391076]
[[5.0,21.0,0.9], 4.430623626837924]
[[5.0,21.0,2.0], 4.641710326178806]
[[5.0,21.0,0.0], 5.069460875443637]
Generation 4

[[4.0,21.0,1.0], 4.414399188778097]
[[3.0,21.0,1.0], 4.41034307926314]
[[4.1,21.0,1.0], 4.414061179651851]
[[3.9,21.0,1.0], 4.415582220719959]
[[4.0,22.0,1.0], 4.415920229846206]
[[4.0,21.0,1.1], 4.416765252661822]
[[4.0,20.9,1.0], 4.417779280040561]
[[4.0,21.0,0.9], 4.417948284603685]
[[4.0,20.0,1.0], 4.41828629372993]
[[4.0,21.1,1.0], 4.4189623119824235]
[[5.0,21.0,1.0], 4.423187426060504]
[[4.0,21.0,2.0], 4.642048335305053]
[[4.0,21.0,0.0], 5.069460875443637]
Generation 5

[[3.0,21.0,1.0], 4.41034307926314]
[[2.0,21.0,1.0], 4.410174074700017]
[[3.1,21.0,1.0], 4.41085009295251]
[[2.9,21.0,1.0], 4.411526111205003]
[[3.0,22.0,1.0], 4.412371134020619]
[[3.0,20.9,1.0], 4.412878147709988]
[[3.0,21.0,1.1], 4.413216156836235]
[[4.0,21.0,1.0], 4.414399188778097]
[[3.0,20.0,1.0], 4.41456819334122]
[[3.0,21.1,1.0], 4.4154132161568365]
[[3.0,21.0,0.9], 4.417948284603685]
[[3.0,21.0,2.0], 4.6425553489944225]
[[3.0,21.0,0.0], 5.069460875443637]
Generation 6

[[2.0,21.0,1.0], 4.410174074700017]
[[3.0,21.0,1.0], 4.41034307926314]
[[2.1,21.0,1.0], 4.410681088389387]
[[1.0,21.0,1.0], 4.41085009295251]
[[1.9,21.0,1.0], 4.411357106641879]
[[2.0,20.9,1.0], 4.412371134020619]
[[2.0,22.0,1.0], 4.412709143146865]
[[2.0,21.0,0.9], 4.414230184214974]
[[2.0,20.0,1.0], 4.414906202467467]
[[2.0,21.1,1.0], 4.415244211593713]
[[2.0,21.0,1.1], 4.415920229846206]
[[2.0,21.0,2.0], 4.6425553489944225]
[[2.0,21.0,0.0], 5.069460875443637]
